2025-12-04 00:11:57 [ERROR]: ❌ MongoDB connection failed: querySrv ENOTFOUND _mongodb._tcp.cluster.mongodb.net
2025-12-04 00:11:57 [ERROR]: ❌ MongoDB error: querySrv ENOTFOUND _mongodb._tcp.cluster.mongodb.net
2025-12-04 00:12:02 [ERROR]: ❌ MongoDB connection failed: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 00:12:02 [ERROR]: ❌ MongoDB error: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 00:12:12 [ERROR]: ❌ MongoDB connection failed: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 00:12:12 [ERROR]: ❌ MongoDB error: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 00:12:27 [ERROR]: ❌ MongoDB connection failed: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 00:12:27 [ERROR]: ❌ MongoDB error: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 00:12:47 [ERROR]: ❌ MongoDB connection failed: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 00:12:47 [ERROR]: ❌ MongoDB error: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 00:13:12 [ERROR]: ❌ MongoDB connection failed: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 00:13:12 [ERROR]: ❌ MongoDB error: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 00:13:42 [ERROR]: ❌ MongoDB connection failed: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 23:05:39 [ERROR]: ❌ MongoDB connection failed: querySrv ENOTFOUND _mongodb._tcp.cluster.mongodb.net
2025-12-04 23:05:40 [ERROR]: ❌ MongoDB error: querySrv ENOTFOUND _mongodb._tcp.cluster.mongodb.net
2025-12-04 23:05:45 [ERROR]: ❌ MongoDB connection failed: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 23:05:45 [ERROR]: ❌ MongoDB error: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 23:05:55 [ERROR]: ❌ MongoDB connection failed: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 23:05:55 [ERROR]: ❌ MongoDB error: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 23:06:10 [ERROR]: ❌ MongoDB connection failed: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 23:06:10 [ERROR]: ❌ MongoDB error: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 23:06:30 [ERROR]: ❌ MongoDB connection failed: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 23:06:30 [ERROR]: ❌ MongoDB error: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 23:06:55 [ERROR]: ❌ MongoDB connection failed: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 23:06:55 [ERROR]: ❌ MongoDB error: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
2025-12-04 23:07:25 [ERROR]: ❌ MongoDB connection failed: connect ECONNREFUSED ::1:27017, connect ECONNREFUSED 127.0.0.1:27017
